tract,Neighborhood,City,State,Teenage_Birth_Rate_women_only_rP_gF_pall,Income
24510151100,East Arlington, Baltimore, MD,0.3615,All
24510270902,Perring Loch, Baltimore, MD,0.3614,All
24510260203,Frankford, Baltimore, MD,0.361,All
24510090300,Ednor Gardens - Lakeside, Baltimore, MD,0.361,All
24005402304,Gwynn Oak, Baltimore, MD,0.36,All
24510250500,Curtis Bay, Baltimore, MD,0.356,All
24510280102,Gwynn Oak, Baltimore, MD,0.3545,All
24510250303,Morrell Park, Baltimore, MD,0.3534,All
24510110100,Downtown, Baltimore, MD,0.3487,All
24510270903,Hillen, Baltimore, MD,0.3452,All
24510130600,Hampden, Baltimore, MD,0.3429,All
24510260102,Frankford, Baltimore, MD,0.3422,All
24510130804,Hampden, Baltimore, MD,0.3393,All
24005403202,Gwynn Oak, Baltimore, MD,0.3369,All
24510260101,Cedmont, Baltimore, MD,0.3314,All
24510271900,Glen, Baltimore, MD,0.322,All
24510010500,Upper Fells Point, Baltimore, MD,0.3187,All
24510040100,Downtown, Baltimore, MD,0.3144,All
24510230300,South Baltimore, Baltimore, MD,0.3104,All
24510140100,Bolton Hill, Baltimore, MD,0.3092,All
24510130806,Woodberry, Baltimore, MD,0.3072,All
24510280302,West Forest Park, Baltimore, MD,0.3043,All
24510270801,Idlewood, Baltimore, MD,0.3029,All
24510270702,Harford - Echodale - Perring Parkway, Baltimore, MD,0.3024,All
24510230200,South Baltimore, Baltimore, MD,0.3009,All
24510020200,Upper Fells Point, Baltimore, MD,0.3004,All
24510020100,Upper Fells Point, Baltimore, MD,0.2998,All
24510261100,Canton, Baltimore, MD,0.299,All
24510270401,Glenham-Belford, Baltimore, MD,0.2975,All
24510270102,Waltherson, Baltimore, MD,0.294,All
24510010200,Patterson Park, Baltimore, MD,0.2925,All
24510260605,Medford - Broening, Baltimore, MD,0.2916,All
24510260401,Armistead Gardens, Baltimore, MD,0.2884,All
24510280403,Westgate, Baltimore, MD,0.2863,All
24510010300,Canton, Baltimore, MD,0.2778,All
24005402405,Gwynn Oak, Baltimore, MD,0.2692,All
24510270200,Lauraville, Baltimore, MD,0.26,All
24510130700,Hampden, Baltimore, MD,0.2571,All
24510240100,Locust Point, Baltimore, MD,0.2557,All
24510270101,Arcadia, Baltimore, MD,0.255,All
24510250401,Brooklyn, Baltimore, MD,0.2542,All
24510250206,Morrell Park, Baltimore, MD,0.2483,All
24003750201,Brooklyn, Baltimore, MD,0.2466,All
24005402403,Gwynn Oak, Baltimore, MD,0.2466,All
24510272006,Glen, Baltimore, MD,0.2443,All
24510270804,Lake Walker, Baltimore, MD,0.2433,All
24510240400,Riverside Park, Baltimore, MD,0.2416,All
24510130805,Cold Springs, Baltimore, MD,0.2398,All
24510010100,Canton, Baltimore, MD,0.2322,All
24510260700,Fifteenth Street, Baltimore, MD,0.2309,All
24005401302,Gwynn Oak, Baltimore, MD,0.2295,All
24510270402,Glenham-Belford, Baltimore, MD,0.2269,All
24510270301,Lauraville, Baltimore, MD,0.2176,All
24510010400,Canton, Baltimore, MD,0.2088,All
24510240300,Riverside, Baltimore, MD,0.2073,All
24510270302,Waltherson, Baltimore, MD,0.2016,All
24510272007,Fallstaff, Baltimore, MD,0.1974,All
24510240200,Riverside, Baltimore, MD,0.1923,All
24510260501,Joseph Lee, Baltimore, MD,0.19,All
24510270600,Harford - Echodale - Perring Parkway, Baltimore, MD,0.1883,All
24510250103,Violetville, Baltimore, MD,0.1781,All
24510270502,North Harford Road, Baltimore, MD,0.1679,All
24510130803,Medfield, Baltimore, MD,0.1646,All
24510270501,Woodring, Baltimore, MD,0.1627,All
24510020300,Fells Point, Baltimore, MD,0.1467,All
24510271101,Radnor - Winston, Baltimore, MD,0.1457,All
24510270703,North Harford Road, Baltimore, MD,0.125,All
24510271102,Mid-Charles, Baltimore, MD,0.0933,All
24510272005,Cross Country, Baltimore, MD,0.0585,All
24510272004,Cheswolde, Baltimore, MD,0.0437,All
24510271200,Homeland, Baltimore, MD,0.0251,All
24510271400,Evergreen, Baltimore, MD,0.0179,All
24510120100,Tuscany - Canterbury, Baltimore, MD,0.0166,All
24510271300,Roland Park, Baltimore, MD,0.0108,All
24510271501,Mount Washington, Baltimore, MD,0.0098,All
24510100300,Penn - Fallsway, Baltimore, MD,,All
24510080400,Broadway East, Baltimore, MD,0.6588,High
24510080700,Broadway East, Baltimore, MD,0.6352,High
24510190100,Franklin Square, Baltimore, MD,0.6341,High
24510160600,Mosher, Baltimore, MD,0.5852,High
24510080800,Broadway East, Baltimore, MD,0.5064,High
24510150600,NW Community Action, Baltimore, MD,0.4989,High
24510250204,Cherry Hill, Baltimore, MD,0.4971,High
24510080500,Darley Park, Baltimore, MD,0.4953,High
24510271802,Langston Hughes, Baltimore, MD,0.4927,High
24510150500,Burleith-Leighton, Baltimore, MD,0.4925,High
24510060300,Butchers Hill, Baltimore, MD,0.4823,High
24510200702,Saint Joseph's, Baltimore, MD,0.4803,High
24510140300,Druid Heights, Baltimore, MD,0.4794,High
24510200100,Lexington, Baltimore, MD,0.4765,High
24510130300,Penn North, Baltimore, MD,0.4726,High
24510120500,Greenmount West, Baltimore, MD,0.4702,High
24510090900,Oliver, Baltimore, MD,0.4657,High
24510120300,Harwood, Baltimore, MD,0.4573,High
24510080102,Belair - Edison, Baltimore, MD,0.4565,High
24510090700,Coldstream - Homestead - Montebello, Baltimore, MD,0.4554,High
24510200701,Allendale, Baltimore, MD,0.4526,High
24510250207,Cherry Hill, Baltimore, MD,0.4475,High
24510150800,Garwyn Oaks, Baltimore, MD,0.4451,High
24510130100,Reservoir Hill, Baltimore, MD,0.441,High
24510280402,Rognel Heights, Baltimore, MD,0.4342,High
24510170300,Upton, Baltimore, MD,0.4311,High
24510160802,Edmondson, Baltimore, MD,0.4298,High
24510280500,Pleasant View Gardens, Baltimore, MD,0.4278,High
24510260402,Frankford, Baltimore, MD,0.427,High
