"tract","Name","Teenage_Birth_Rate_women_only_rB_gF_p25"
34023003001,"Woodbridge, Woodbridge Township, NJ",0.473
34013004700,"Weequahic, Newark, NJ",0.4726
34031182400,"Paterson, NJ",0.4722
36061016800,"Upper Manhattan, New York, NY",0.472
36005017500,"Bronx County, NY",0.4719
36061022800,"Harlem, New York, NY",0.471
36047120200,"Kings County, NY",0.4709
36047026300,"Kings County, NY",0.4708
34013010100,"East Orange, NJ",0.4705
34023004300,"Perth Amboy, NJ",0.4703
34013002000,"Lower Vailsburg, Newark, NJ",0.469
36085024700,"Richmond County, NY",0.4683
36085001100,"Richmond County, NY",0.4669
34023006001,"New Brunswick, NJ",0.4667
36047121000,"Kings County, NY",0.4666
34023001002,"South Plainfield, NJ",0.4666
36081008700,"Queens County, NY",0.4663
36081100801,"Queens County, NY",0.4659
36047113000,"Kings County, NY",0.4658
34013001000,"University Heights, Newark, NJ",0.4654
34013005400,"Upper Clinton Hill, Newark, NJ",0.4648
34013002400,"Lower Vailsburg, Newark, NJ",0.4646
34013013300,"Irvington, NJ",0.4642
36005008500,"Bronx County, NY",0.4631
34013004900,"Weequahic, Newark, NJ",0.4623
36047090600,"Kings County, NY",0.4601
36085002900,"Richmond County, NY",0.46
36005013300,"Bronx County, NY",0.4598
36047018501,"Kings County, NY",0.4597
36047115600,"Kings County, NY",0.4587
36061002500,"Lower Manhattan, New York, NY",0.4582
36005005100,"Bronx County, NY",0.4575
34013011200,"East Orange, NJ",0.4572
36047036100,"Kings County, NY",0.4566
36005012701,"Bronx County, NY",0.4561
36005014701,"Bronx County, NY",0.4559
34013010800,"East Orange, NJ",0.4558
34031183200,"Paterson, NJ",0.4553
34013005700,"South Broad Street, Newark, NJ",0.4552
36005022703,"Bronx County, NY",0.4548
36005011900,"Bronx County, NY",0.4548
36005008600,"Bronx County, NY",0.4538
36047034300,"Kings County, NY",0.4531
34017004300,"Bergen/Lafayette, Jersey City, NJ",0.453
34013010300,"East Orange, NJ",0.4527
36005017901,"Bronx County, NY",0.4525
36047036300,"Kings County, NY",0.4521
36005040303,"Bronx County, NY",0.452
36061002000,"Lower Manhattan, New York, NY",0.4519
36005042300,"Bronx County, NY",0.4517
36005005902,"Bronx County, NY",0.4509
34023009300,"New Brunswick, NJ",0.4507
36085031901,"Richmond County, NY",0.4506
34017003000,"McGinley Square, Jersey City, NJ",0.4504
36119003200,"South Side, Mount Vernon, NY",0.4492
36085021300,"Richmond County, NY",0.4488
36047036501,"Kings County, NY",0.4485
36047067000,"Kings County, NY",0.4484
36047012700,"Kings County, NY",0.4476
34031175200,"Passaic, NJ",0.4471
36005008700,"Bronx County, NY",0.4461
34039035100,"Linden, NJ",0.446
36047027300,"Kings County, NY",0.4458
36061025900,"Harlem, New York, NY",0.4456
36081094202,"Queens County, NY",0.4451
34013013200,"Irvington, NJ",0.4451
36047119400,"Kings County, NY",0.445
36005002500,"Bronx County, NY",0.445
36047042100,"Kings County, NY",0.4445
34031175801,"Passaic, NJ",0.4443
